Sketchfab_URL,SketchfabImg_URL
https://sketchfab.com/3d-models/triceratops-909bf645de1746829ab19acd1ae31767,https://media.sketchfab.com/models/909bf645de1746829ab19acd1ae31767/thumbnails/6f4ed751e7b54d2794a6e2f3b6f3131a/fdf07ce10beb4229a0033d1d0ec55158.jpeg
https://sketchfab.com/3d-models/fossil-dinosaur-bone-3f6713593072415db845adfab1618968,https://media.sketchfab.com/models/3f6713593072415db845adfab1618968/thumbnails/3ed000ed46244c56b5839866a08c2d10/c657379b21c24e87b3aa3bd250925304.jpeg
https://sketchfab.com/3d-models/tyrannosaurus-fossil-54b0956c5a6342cebc37852d801890e2,https://media.sketchfab.com/models/54b0956c5a6342cebc37852d801890e2/thumbnails/b69a56ec4e01410dab4f50d9cf0e724d/6b0ee4de85364871aa3e588eb2ca579d.jpeg
https://sketchfab.com/3d-models/zuniceratops-fossil-62fd20bbf23c4b848192bb942f991c03,https://media.sketchfab.com/models/62fd20bbf23c4b848192bb942f991c03/thumbnails/709af49589a64ed6a8884c4a5f62876b/272984235f68426fb88d6e6d86d4a98e.jpeg
https://sketchfab.com/3d-models/mosasaur-fossil-0e33035bf91748f39d8a261a31cc22da,https://media.sketchfab.com/models/0e33035bf91748f39d8a261a31cc22da/thumbnails/d7cb10867c2b471da4d5a53df6b345e5/bbf0a846d6384ede8fe639121f93d698.jpeg
https://sketchfab.com/3d-models/ancient-rhino-fossil-625d1672538240e994fb4dcc80a493db,https://media.sketchfab.com/models/625d1672538240e994fb4dcc80a493db/thumbnails/03987bb1ce5345b7913c73c50f65a2c1/09b23afd70c643f99e5d26a1682037d8.jpeg
https://sketchfab.com/3d-models/trilobite-fossil-photogrammetry-scan-477033de933143009660bb72e6f3c6fd,https://media.sketchfab.com/models/477033de933143009660bb72e6f3c6fd/thumbnails/662d7d612063463c986db4965649dd0e/190a4ae7777c42dab62afd20642b513c.jpeg
https://sketchfab.com/3d-models/dinosaur-bones-1c8a498dc5aa4240b8955e1d469dcf8d,https://media.sketchfab.com/models/1c8a498dc5aa4240b8955e1d469dcf8d/thumbnails/c03e1220916f487aac3b662cfe4210e6/81460259760743c98ab2c57c6ce60869.jpeg
https://sketchfab.com/3d-models/velociraptor-fossil-bde607338c1d4b1fa5b85db36cfbd87e,https://media.sketchfab.com/models/bde607338c1d4b1fa5b85db36cfbd87e/thumbnails/726e4d595e234d8eb4f2ed68f764a422/e533fbfafdff4142ae97220e8934a5c8.jpeg
https://sketchfab.com/3d-models/xiphactinus-audax-fossil-skull-9f26fe5bc6be4ee790283c9d22df7cb3,https://media.sketchfab.com/models/9f26fe5bc6be4ee790283c9d22df7cb3/thumbnails/6ce7e51cab8244d99c8385e86e3e2b61/720x405.jpeg
https://sketchfab.com/3d-models/dinosaur-fossil-edmontosaurus-femur-0465a4f71f144736a369909c638d7351,https://media.sketchfab.com/models/0465a4f71f144736a369909c638d7351/thumbnails/1ee0baff8dd2461c9c3053923bcdfc93/720x405.jpeg
https://sketchfab.com/3d-models/erlikosaurus-skull-and-jaw-dd9df0256dc642a1a2a56775805a36bf,https://media.sketchfab.com/models/dd9df0256dc642a1a2a56775805a36bf/thumbnails/7539fca6f2a94009bbb69e0d1e2e16bb/720x405.jpeg
https://sketchfab.com/3d-models/dinosaur-compy-lowpoly-art-92099fe9e6dd4c378068ae3a616b4ed1,https://media.sketchfab.com/models/92099fe9e6dd4c378068ae3a616b4ed1/thumbnails/94ffb5c7292045efbfade55c9c71fbfe/038bb353ae6b433db533e88afd488df1.jpeg
https://sketchfab.com/3d-models/hoplophoneus-skull-miniature-sabertooth-cat-72e99ed620104dc180cc376b8dad0e84,https://media.sketchfab.com/models/72e99ed620104dc180cc376b8dad0e84/thumbnails/02b053c92a254b179c1315d7dd7b54c4/be771b92d6a74c6aa683d239d281a63e.jpeg
https://sketchfab.com/3d-models/edmontosaurus-fossil-skull-92715619fb2b44849af36da71457ec15,https://media.sketchfab.com/models/92715619fb2b44849af36da71457ec15/thumbnails/5580957e6fc74bd3bb57917a29ac2915/01047030bb1b48c583a0f127b7146769.jpeg
https://sketchfab.com/3d-models/3drt-dinosaurs-compsognathus-bb1b5ba717b8446db16700f4b0663402,https://media.sketchfab.com/models/bb1b5ba717b8446db16700f4b0663402/thumbnails/d1fe05fb58944ef0976441102aaeed7e/b41ab8d9f440402aa2f46a69b8561984.jpeg
https://sketchfab.com/3d-models/euoplocephalus-armored-dinosaur-airwaybrain-d88f5930107a4c84a9b2b714a2dfa20a,https://media.sketchfab.com/models/d88f5930107a4c84a9b2b714a2dfa20a/thumbnails/77e273a6c9264a7fa1b045d5d3ce19c9/720x405.jpeg
https://sketchfab.com/3d-models/dinosaur-amber-t-rex-sculpture-0fab02fe9a124c27879689e7c46f5557,https://media.sketchfab.com/models/0fab02fe9a124c27879689e7c46f5557/thumbnails/30513f5ca4e948d4af1f19e3ae890bdb/6f0cf9e5586949798e1024b1b709d3b3.jpeg
https://sketchfab.com/3d-models/triceratops-baby-dinosaur-reptile-1497a9bb99a84ed9be4de89457607217,https://media.sketchfab.com/models/1497a9bb99a84ed9be4de89457607217/thumbnails/ef2c0041a8e44c4d96a374486cd96eb5/d8c390ccf75c4f409e311e0687ca97fe.jpeg
https://sketchfab.com/3d-models/gorgosaurus-dinosaur-thenat-museum-san-diego-b054ae39bb0d4c59b9e5487f2cc774c5,https://media.sketchfab.com/models/b054ae39bb0d4c59b9e5487f2cc774c5/thumbnails/1c2e6e18d7624f6dae117c7ad0d261ff/7628ff53706c4d5580009d7f724e1ee7.jpeg
https://sketchfab.com/3d-models/stegosaurus-727c45b88c6c4f5d9db0bb95e857aaa0,https://media.sketchfab.com/models/727c45b88c6c4f5d9db0bb95e857aaa0/thumbnails/539c73b2ad2a4d9cb2b904b15389b08e/a29b59fd3439429f9d2d7ff73057a2b9.jpeg
https://sketchfab.com/3d-models/3drt-dinosaurs-quetzalcoatlus-db42da13be35450aa16c946e9b6566a5,https://media.sketchfab.com/models/db42da13be35450aa16c946e9b6566a5/thumbnails/e5e866379a74483c8efc21b113fbf601/ed4a5749dc354eb785ba0da8b3afb229.jpeg
https://sketchfab.com/3d-models/3drt-dinosaurs-velociraptor-17d85ea5885f4c5ea4758a29b9df862b,https://media.sketchfab.com/models/17d85ea5885f4c5ea4758a29b9df862b/thumbnails/9ba484bd2be94bf3baf1517b2ce14356/956e65e902344433bc04290942c101cc.jpeg
https://sketchfab.com/3d-models/trace-fossil-grallator-footprint-pri-49745-4da158eecea94d7cbce9f60ad6f7bbde,https://media.sketchfab.com/models/4da158eecea94d7cbce9f60ad6f7bbde/thumbnails/dd5bed7396bb448896bd1e0a67371491/7a633ccbccb449a98b9a93523f58c786.jpeg
https://sketchfab.com/3d-models/eigg-dinosaur-bone-6e670b8f91e947d6860f14016540c7bb,https://media.sketchfab.com/models/6e670b8f91e947d6860f14016540c7bb/thumbnails/6d8aa69605b84fc9ba0521123c6960c9/84b8e363c94c44ff9121aa1ba5ef0f14.jpeg
https://sketchfab.com/3d-models/fossil-foot-05b3e58153e8411a847b68f7c831d6cd,https://media.sketchfab.com/models/05b3e58153e8411a847b68f7c831d6cd/thumbnails/b1d2b0db21be4257aa232ee7b53f0ca3/3b15e6c64b8e4b43b2cd5ab015cd73d6.jpeg
https://sketchfab.com/3d-models/dinosaur-nest-with-egg-and-caprolites-52b65b77a1904b0da8b47788f7ed3529,https://media.sketchfab.com/models/52b65b77a1904b0da8b47788f7ed3529/thumbnails/520bba31c9284ff0b28124e8382b9e3f/d7676b773053493a87ff98395389abd4.jpeg
https://sketchfab.com/3d-models/tyrannosaurus-rex-amnh-quick-scan-135a235bd3d743fbad55ab0919df23db,https://media.sketchfab.com/models/135a235bd3d743fbad55ab0919df23db/thumbnails/ff7df51685814e07b1f127e2a7dafb8d/f2e043301540465887a1f1d940fd6763.jpeg
https://sketchfab.com/3d-models/tyrannosaurus-rex-amnh-point-cloud-cdfbf34cce1d4071bb1b7271f367d057,https://media.sketchfab.com/models/cdfbf34cce1d4071bb1b7271f367d057/thumbnails/0191c29931ac4f0a83da2294149bfba3/a2c8265830c04f63b05d9e2b48702c94.jpeg
https://sketchfab.com/3d-models/fossil-bones-pteranodon-84677c4e08004c05b057511ef81846f4,https://media.sketchfab.com/models/84677c4e08004c05b057511ef81846f4/thumbnails/40875b106d114a4aa83bd92f959e1fa3/720x405.jpeg
https://sketchfab.com/3d-models/sea-turtle-fossil-scan-0d4cf4fdacab4e51986c68ee66f32a37,https://media.sketchfab.com/models/0d4cf4fdacab4e51986c68ee66f32a37/thumbnails/8e30ec2eaeb748ec9243ef7532a45163/a812ce165a824277a91c50f2bb09b4bd.jpeg
https://sketchfab.com/3d-models/herrerasaurus-6f1d954378ee4625a628b3ade5163a4a,https://media.sketchfab.com/models/6f1d954378ee4625a628b3ade5163a4a/thumbnails/1e6cd552d7e448bb81298aa4906a6095/7e69ab64103b4bd8b76e0e0cc1fd613d.jpeg
https://sketchfab.com/3d-models/asterotrygon-fossil-1cb2705b6a2c4be8ab9446705bb5684c,https://media.sketchfab.com/models/1cb2705b6a2c4be8ab9446705bb5684c/thumbnails/f707e9ac4f84454e9a9aaef86898fd2a/720x405.jpeg
https://sketchfab.com/3d-models/dimetrodon-dinosuar-photogrammetry-c2f65e4e3fad4e199532ef79e6baea8d,https://media.sketchfab.com/models/c2f65e4e3fad4e199532ef79e6baea8d/thumbnails/dd2cc1ee9dad4105a25ba5e7a624eab3/9c85c2dbbabc4cff99518ce151daad21.jpeg
https://sketchfab.com/3d-models/3drt-dinosaurs-stegosaurus-24176c1b3b104a3499c051f61a5e0a2b,https://media.sketchfab.com/models/24176c1b3b104a3499c051f61a5e0a2b/thumbnails/0fcaa919576c403b9745dc6f63b0565c/a4eb069f58394451a9b6a475fb33d21a.jpeg
https://sketchfab.com/3d-models/dinosaur-skin-impression-1d95213d5ed94f8dbab77e2a61252074,https://media.sketchfab.com/models/1d95213d5ed94f8dbab77e2a61252074/thumbnails/124864b848e241af9d6ed624dc0cf86c/3d032b01143d407d8d512e188afaeba5.jpeg
https://sketchfab.com/3d-models/dinosaur-footprint-grallator-sp-pri-40798-15b094475f43489fa8092d2a696c3044,https://media.sketchfab.com/models/15b094475f43489fa8092d2a696c3044/thumbnails/b662e14c8e9e40d1bf850ec40bc2bbb4/a5379ea2055a4a2bac5f543626addb74.jpeg
https://sketchfab.com/3d-models/ammonite-fossil-159eb07030a8446eb533d79116322349,https://media.sketchfab.com/models/159eb07030a8446eb533d79116322349/thumbnails/d8de37f3536f4109a0099a8b8a5631f5/720x405.jpeg
https://sketchfab.com/3d-models/dinosaurs-claw-4e3697b761294ccc8171f3e26bb07fcd,https://media.sketchfab.com/models/4e3697b761294ccc8171f3e26bb07fcd/thumbnails/0434b3eea49a42c68dfb6539fe49c248/c60dfe740fa64594b4497cdffb1e2df1.jpeg
https://sketchfab.com/3d-models/unidentified-fossil-skull-dced56b102004f3aaa2d54f4018a0567,https://media.sketchfab.com/models/dced56b102004f3aaa2d54f4018a0567/thumbnails/11c5a114c81f4a54affe8d540e9ac47b/720x405.jpeg
https://sketchfab.com/3d-models/3drt-dinosaurs-triceratops-47930886c728400a925682149653f80b,https://media.sketchfab.com/models/47930886c728400a925682149653f80b/thumbnails/1ba1c7ffaf8e4c0c94703329f7e73df5/9c28df1db3c147c3ac6fbf71acf6f962.jpeg
https://sketchfab.com/3d-models/3drt-dinosaurs-spinosaurus-01d550366ce6481d8d66bd8f9a44e20d,https://media.sketchfab.com/models/01d550366ce6481d8d66bd8f9a44e20d/thumbnails/ba3eeacd91134e3abce91f674811399d/1846edf286cf4c04b96559e2cd1f2e98.jpeg
https://sketchfab.com/3d-models/3drt-dinosaurs-parasaurolophus-6c3a26aad2694ba4b2d189c9a5617f5f,https://media.sketchfab.com/models/6c3a26aad2694ba4b2d189c9a5617f5f/thumbnails/f487fd88b54548b2a93d2ff3d9fd4c68/b20f91665c38430d918490b5216b3857.jpeg
https://sketchfab.com/3d-models/dinictis-mandible-402df695e91c4bd09c6bfd7eb3ce5b8e,https://media.sketchfab.com/models/402df695e91c4bd09c6bfd7eb3ce5b8e/thumbnails/2003764adf784672846a3ca1103222a8/267ed66a7b964996955b9d5e6320831b.jpeg
https://sketchfab.com/3d-models/mamen-river-dragon-6e6611b4a204479aac83dfd96183e779,https://media.sketchfab.com/models/6e6611b4a204479aac83dfd96183e779/thumbnails/15b39f774eb540e9b2da09706972f345/808a3bc950244bd48071c3d493c481be.jpeg
https://sketchfab.com/3d-models/dinosaur-footprint-mount-morgan-a1-f81831f616ae47eab3a8a179efa0c4c9,https://media.sketchfab.com/models/f81831f616ae47eab3a8a179efa0c4c9/thumbnails/468354b613f543d38812a84628f03ba4/a032199436e84111850f18ca386827a5.jpeg
https://sketchfab.com/3d-models/3drt-dinosaurs-tyrannosaurus-aa18b6bbd51347e3864e8f938607c14f,https://media.sketchfab.com/models/aa18b6bbd51347e3864e8f938607c14f/thumbnails/7ad75c4834b743d891a8a374435958d6/27ff71897ca641a0a5fbc3f008b49db8.jpeg
