TurboSquid_URL,TurboSquidImg_URL
https://www.turbosquid.com/3d-models/3d-triceratops-skeleton-fossil-model-1505255,https://p.turbosquid.com/ts-thumb/tN/wbTY4M/EsRKrivC/triceratopshorridusskeletonfossilc4dmodel000/jpg/1580740196/600x600/fit_q87/cbf50247e10b415d104a8a6ca8ee30fbbd4f0bd3/triceratopshorridusskeletonfossilc4dmodel000.jpg
https://www.turbosquid.com/3d-models/tyrannosaurus-rex-skeleton-3d-1294980,https://p.turbosquid.com/ts-thumb/Fm/UY8XWp/cmUa7tQN/thumbnail/png/1528648692/600x600/fit_q87/ced2558a6d2f6151cfe1bd6a19e4c1c842cb4641/thumbnail.jpg
https://www.turbosquid.com/3d-models/triceratops-horridus-skeleton-walking-model-1505258,https://p.turbosquid.com/ts-thumb/7T/i0LQyB/LlxspTdz/triceratopshorridusskeletonwalkingposevray3dmodel000/jpg/1580732981/600x600/fit_q87/70cc3e247d8d8bf143fdb80bd11f6e0e3c4608ee/triceratopshorridusskeletonwalkingposevray3dmodel000.jpg
https://www.turbosquid.com/3d-models/3d-model-triceratops-skeleton-fossil-transparent-1535781,https://p.turbosquid.com/ts-thumb/vr/9iXaWa/lblT8cSx/triceratops_skeleton_with_transparent_skin_rigged_mb_00/jpg/1585978282/600x600/fit_q87/f2a369bed1ed7b40d1a60c5b5a8166208fa383d1/triceratops_skeleton_with_transparent_skin_rigged_mb_00.jpg
https://www.turbosquid.com/3d-models/3d-triceratops-skeleton-fossil-rigged-1530978,https://p.turbosquid.com/ts-thumb/pK/CPvpdg/vBas3B5J/triceratopswithskeletonfossilriggedcollectionc4dmodel000/jpg/1585231014/600x600/fit_q87/8969f731cd5c95ecefff74dcbfb98a9cd6000c62/triceratopswithskeletonfossilriggedcollectionc4dmodel000.jpg
https://www.turbosquid.com/3d-models/3d-edmontosaurus-skeleton-2049065,https://p.turbosquid.com/ts-thumb/eO/yXap48/ce/search_image/png/1680178853/600x600/fit_q87/1fbb05520e7fd876e585652f60245e07c75f0176/search_image.jpg
https://www.turbosquid.com/3d-models/3d-mammoth-skeleton-clean-bones-rigged-1807077,https://p.turbosquid.com/ts-thumb/yb/xFZLYK/Eg/mammothskeletoncleanbonesrigged3dmodel000/jpg/1635205265/600x600/fit_q87/34901116bed091197ce7247af890d5904fa33e8b/mammothskeletoncleanbonesrigged3dmodel000.jpg
https://www.turbosquid.com/3d-models/mammoth-adult-with-skeleton-collection-3d-1866110,https://p.turbosquid.com/ts-thumb/uP/2dnISl/8J/mammoth_adult_with_skeleton_collection_00/jpg/1646996839/600x600/fit_q87/2af94dfafec8ad7da7a9f53d51369d7ffb263efb/mammoth_adult_with_skeleton_collection_00.jpg
https://www.turbosquid.com/3d-models/3d-model-mammoth-skeleton-clean-bones-1800438,https://p.turbosquid.com/ts-thumb/jq/oa085V/ew/mammothskeletoncleanbonesc4dmodel000/jpg/1634081018/600x600/fit_q87/e80a814ddba61914f4f5d4c761d0c788d475dda1/mammothskeletoncleanbonesc4dmodel000.jpg
https://www.turbosquid.com/3d-models/tyrannosaurus-rex-skeleton-3d-model-1479999,https://p.turbosquid.com/ts-thumb/nX/wvYyRP/AdUUv6zF/tyrannosaurusrexwithskeletoncollectionmb3dmodel000/jpg/1575646063/600x600/fit_q87/cbcbccdb405a2899ae134ecf61ac9945bcfa0f25/tyrannosaurusrexwithskeletoncollectionmb3dmodel000.jpg
https://www.turbosquid.com/3d-models/archaeopteryx-skeleton-3d-1228788,https://p.turbosquid.com/ts-thumb/02/ITmW54/inWeuezi/r01/jpg/1511888420/600x600/fit_q87/8fcb24d9692c30503d91186306861ec24b82f155/r01.jpg
https://www.turbosquid.com/3d-models/mammoth-skeleton-old-bones-rigged-3d-model-1807080,https://p.turbosquid.com/ts-thumb/id/9hMELX/yO/mammothskeletonoldbonesriggedc4dmodel000/jpg/1635215089/600x600/fit_q87/b018d718b3b6f678ab6f95b4766e248cee863662/mammothskeletonoldbonesriggedc4dmodel000.jpg
https://www.turbosquid.com/3d-models/adult-mammoth-clean-skeleton-shell-roar-model-1800432,https://p.turbosquid.com/ts-thumb/yF/D9Jvel/na/adultmammothcleanskeletonshellroarmb3dmodel000/jpg/1634084467/600x600/fit_q87/21f8d8af7940af4e169fc2a8266e06685c083777/adultmammothcleanskeletonshellroarmb3dmodel000.jpg
